ลำดับ,จังหวัด,ข้าว,อ้อย,ข้าวโพด,ปลูกแบบผสม,พื้นที่รวม
1,กรุงเทพมหานคร,"3,805",0,0,0,"3,805"
2,กาญจนบุรี,"67,112","194,718","24,396",113,"286,339"
3,กาฬสินธุ์,"67,091","28,578",2,0,"95,671"
4,กำแพงเพชร,"86,685","108,361","2,909",0,"197,955"
5,ขอนแก่น,"158,433","127,511",377,22,"286,343"
6,จันทบุรี,783,"4,232",24,0,"5,039"
7,ฉะเชิงเทรา,"41,245","7,549",83,5,"48,882"
8,ชลบุรี,"3,143","13,346",63,0,"16,552"
9,ชัยนาท,"129,185","29,452",218,0,"158,855"
10,ชัยภูมิ,"118,487","171,066","1,046",45,"290,644"
11,ชุมพร,0,0,0,0,0
12,เชียงราย,"69,023","1,867","51,784",8,"122,682"
13,เชียงใหม่,"23,713",328,"52,071","11,533","87,645"
14,ตราด,421,0,0,0,421
15,ตาก,"30,890","56,258","152,550",139,"239,837"
16,นครนายก,"87,493",2,0,0,"87,495"
17,นครปฐม,"24,967","7,651",122,0,"32,740"
18,นครพนม,"65,516","5,684",1,1,"71,202"
19,นครราชสีมา,"333,429","366,588","53,044",0,"753,061"
20,นครสวรรค์,"296,640","314,535","65,720",699,"677,594"
21,นนทบุรี,"7,911",2,0,0,"7,913"
22,น่าน,"11,942",55,"35,762",1,"47,760"
23,บึงกาฬ,"28,366","1,010",10,7,"29,393"
24,บุรีรัมย์,"98,241","65,433",208,3,"163,885"
25,ปทุมธานี,"23,582",56,44,0,"23,682"
26,ประจวบคีรีขันธ์,0,0,0,0,0
27,ปราจีนบุรี,"120,134","19,798",49,0,"139,981"
28,พระนครศรีอยุธยา,"92,336",10,1,0,"92,347"
29,พะเยา,"89,037",795,"17,317",3,"107,152"
30,พิจิตร,"219,919","13,032","1,387",0,"234,338"
31,พิษณุโลก,"65,081","29,267","10,041",198,"104,587"
32,เพชรบุรี,0,0,0,0,0
33,เพชรบูรณ์,"74,780","305,261","56,426","1,004","437,471"
34,แพร่,"10,326","5,972","47,798",0,"64,096"
35,มหาสารคาม,"65,586","14,326",5,0,"79,917"
36,มุกดาหาร,"8,772","21,429",5,0,"30,206"
37,แม่ฮ่องสอน,"8,881",5,"10,331",309,"19,526"
38,ยโสธร,"60,753","7,685",0,0,"68,438"
39,ร้อยเอ็ด,"154,730","8,802",0,1,"163,533"
40,ระนอง,0,0,0,0,0
41,ระยอง,319,"1,071",0,0,"1,390"
42,ราชบุรี,31,11,5,0,47
43,ลพบุรี,"95,290","520,038","82,347","8,375","706,050"
44,ลำปาง,"29,024","15,657","74,803",56,"119,540"
45,ลำพูน,"4,061","1,038","11,596",3,"16,698"
46,เลย,"25,903","125,282","37,358",0,"188,543"
47,ศรีสะเกษ,"88,514","7,364",549,89,"96,516"
48,สกลนคร,"111,337","27,459",8,12,"138,816"
49,สมุทรปราการ,446,0,0,0,446
50,สมุทรสงคราม,462,0,0,0,462
51,สมุทรสาคร,433,0,0,0,433
52,สระแก้ว,"26,546","165,413","6,671","1,019","199,649"
53,สระบุรี,"30,479","63,738","29,605",1,"123,823"
54,สิงห์บุรี,"41,315","11,480",1,0,"52,796"
55,สุโขทัย,"30,774","43,929","5,081",67,"79,851"
56,สุพรรณบุรี,"149,144","115,535","5,656",2,"270,337"
57,สุรินทร์,"101,691","9,314",1,0,"111,006"
58,หนองคาย,"59,131","14,833",69,145,"74,178"
59,หนองบัวลำภู,"73,518","171,048","3,424",26,"248,016"
60,อ่างทอง,"30,495","4,015",13,0,"34,523"
61,อำนาจเจริญ,"19,996","6,034",5,0,"26,035"
62,อุดรธานี,"177,450","148,194",42,2,"325,688"
63,อุตรดิตถ์,"42,397","29,243","25,723",793,"98,156"
64,อุทัยธานี,"30,226","69,225","6,844",0,"106,295"
65,อุบลราชธานี,"87,146","14,633",189,0,"101,968"
