ลำดับ,รูปแบบสื่อ,หมวดหมู่,ชิ้นงาน,thumnail,ลิงก์
79,สำรวจความเห็น,การจัดการไฟป่า,บทเรียนจากชุมชน : แก้ปัญหาไฟป่า ต้องมาจากการมีส่วนร่วม,https://img.youtube.com/vi/_Xz51ycB0BY/maxresdefault.jpg,https://www.youtube.com/watch?v=_Xz51ycB0BY&list=PLyG9tFYqHiubnUcHs5ODz5a8vkRJBH3Ot&index=6
5,สารคดี,การจัดการไฟป่า,พิกัด 1 ฝ่าไฟแปลงใหญ่รอยต่อลี้ ลำพูน “ก้อ” เดินหน้าจัดการฝุ่น,https://img.youtube.com/vi/446bfG52SRU/maxresdefault.jpg,https://www.youtube.com/watch?v=446bfG52SRU&list=PLGLNO06fxG2NuVClEnZlUOF2dozilXy0i&index=9
76,สำรวจความเห็น,การจัดการไฟป่า,แก้ปัญหาหมอกควันไฟป่า ด้วยการประเมิน “มูลค่า” เพื่อ “ตอบแทน” ชุมชน,https://img.youtube.com/vi/7-k0sIN5-5w/maxresdefault.jpg,https://www.youtube.com/watch?v=7-k0sIN5-5w&list=PLyG9tFYqHiubnUcHs5ODz5a8vkRJBH3Ot&index=3
77,สำรวจความเห็น,การติดตามและเทคโนโลยี,เพิ่มศักยภาพการเฝ้าระวังไฟป่า ด้วยอากาศยานไร้คนขับและเทคโนโลยีปัญญาประดิษฐ์,https://img.youtube.com/vi/8pQnPPWr8gY/maxresdefault.jpg,https://www.youtube.com/watch?v=8pQnPPWr8gY&list=PLyG9tFYqHiubnUcHs5ODz5a8vkRJBH3Ot&index=4
62,รายการทีวี,กฎหมายและสิทธิอากาศสะอาด,คุณเล่า เราขยาย : ค่ามาตรฐานฝุ่น ดัชนีอากาศสะอาด,https://img.youtube.com/vi/9jRJZYte8po/sddefault.jpg,https://www.youtube.com/watch?v=9jRJZYte8po
61,รายการทีวี,การจัดการไฟป่า,ฟังเสียงประเทศไทยตอน เราจะชนะศึกดับไฟป่า อย่างไร ?,https://img.youtube.com/vi/a-13r92BbBo/maxresdefault.jpg,https://www.youtube.com/watch?v=a-13r92BbBo
6,สารคดี,การจัดการไฟป่า,พิกัด 2 ดอยสุเทพ ไฟใกล้เมือง,https://img.youtube.com/vi/bsNFoLYt8E0/maxresdefault.jpg,https://www.youtube.com/watch?v=bsNFoLYt8E0
78,สำรวจความเห็น,การติดตามและเทคโนโลยี,Big Data ฝุ่น PM2.5 : จัดการ “ข้อมูล” เพื่อแก้ปัญหาหมอกควันไฟป่า,https://img.youtube.com/vi/Cu8c3SPuyz4/maxresdefault.jpg,https://www.youtube.com/watch?v=Cu8c3SPuyz4&list=PLyG9tFYqHiubnUcHs5ODz5a8vkRJBH3Ot&index=5
82,สำรวจความเห็น,การจัดการไฟป่า, ฤดูฝุ่นจบแต่ปัญหายังอยู่: มช. กับงานวิจัยเพื่อแก้ปัญหาหมอกควันไฟป่า,https://img.youtube.com/vi/fvuH6QgGEms/maxresdefault.jpg,https://www.youtube.com/watch?v=fvuH6QgGEms&list=PLyG9tFYqHiubnUcHs5ODz5a8vkRJBH3Ot&index=10
80,สำรวจความเห็น,กฎหมายและสิทธิอากาศสะอาด,Payment for Ecosystems Services (PES) : ช่วย “จ่าย” เพื่อ “ลด” ไฟป่า   ,https://img.youtube.com/vi/gDqo4Ir-SZw/maxresdefault.jpg,https://www.youtube.com/watch?v=gDqo4Ir-SZw&list=PLyG9tFYqHiubnUcHs5ODz5a8vkRJBH3Ot&index=7
74,สำรวจความเห็น,การมีส่วนร่วมและเสียงประชาชน,ก่อนจะเป็น “แผนปฏิบัติการเพื่อลดและขจัดมลพิษในเขตควบคุมมลพิษ จังหวัดเชียงใหม่” ,https://img.youtube.com/vi/HswpQSQseC8/maxresdefault.jpg,https://www.youtube.com/watch?v=HswpQSQseC8&list=PLyG9tFYqHiubnUcHs5ODz5a8vkRJBH3Ot&index=1
75,สำรวจความเห็น,การมีส่วนร่วมและเสียงประชาชน,เมื่อเชียงใหม่กำลังจะมี “แผนปฏิบัติการเพื่อลดและขจัดมลพิษในเขตควบคุมมลพิษ”,https://img.youtube.com/vi/JBOYfMPq8vc/maxresdefault.jpg,https://www.youtube.com/watch?v=JBOYfMPq8vc&list=PLyG9tFYqHiubnUcHs5ODz5a8vkRJBH3Ot&index=2
7,สารคดี,การจัดการไฟป่า,พิกัด 3 ทำไมต้องไหม้ซ้ำซากอมก๋อย,https://img.youtube.com/vi/jhDNSSrd2Us/maxresdefault.jpg,https://www.youtube.com/watch?v=jhDNSSrd2Us
63,รายการทีวี,การมีส่วนร่วมและเสียงประชาชน,คุณเล่า เราขยาย : เปิดโมเดลนำร่อง ลดฝุ่นควัน,https://img.youtube.com/vi/KGTQuj_6_-g/maxresdefault.jpg,https://www.youtube.com/watch?v=KGTQuj_6_-g
60,รายการทีวี,การจัดการไฟป่า,ฟังเสียงประเทศไทย คนเหนือกับฝุ่นไฟ 2566,https://img.youtube.com/vi/kz7mnLQWuNA/maxresdefault.jpg,https://www.youtube.com/watch?v=kz7mnLQWuNA
81,สำรวจความเห็น,การติดตามและเทคโนโลยี,จากงานวิจัยเพื่อลดไฟป่าดอยสุเทพ-ปุย สู่แนวทางแก้ปัญหาหมอกควันไฟป่าอย่างยั่งยืน,https://img.youtube.com/vi/rQ4o_DYqqck/maxresdefault.jpg,https://www.youtube.com/watch?v=rQ4o_DYqqck&list=PLyG9tFYqHiubnUcHs5ODz5a8vkRJBH3Ot&index=8
